=================== ========= ==== ======================== ===========================================================================================================================================================
date/time           short_uid id   plan                     args                                                                                                                                                       
=================== ========= ==== ======================== ===========================================================================================================================================================
2017-10-26 11:21:28 3fe59011  1    scan                     detectors=['noisy'], num=219, motor=['m1'], start=-1.5, stop=-0.5, per_step=None                                                                           
2017-10-26 11:21:42 25b4c903  2    scan                     detectors=['noisy'], num=219, motor=['m1'], start=-1.5, stop=-0.5, per_step=None                                                                           
2017-10-26 11:22:08 3953e8e0  3    scan                     detectors=['noisy'], num=219, motor=['m1'], start=-1.5, stop=-0.5, per_step=None                                                                           
2017-10-26 11:22:22 f24bf2cc  4    scan                     detectors=['noisy'], num=219, motor=['m1'], start=-1.5, stop=-0.5, per_step=None                                                                           
2017-10-26 11:22:37 44b751d2  5    scan                     detectors=['noisy'], num=219, motor=['m1'], start=-1.5, stop=-0.5, per_step=None                                                                           
2017-10-26 11:22:50 4e3741f5  6    scan                     detectors=['noisy'], num=219, motor=['m1'], start=-1.5, stop=-0.5, per_step=None                                                                           
2017-10-26 11:24:33 a83df5d4  7    scan                     detectors=['synthetic_pseudovoigt'], num=219, motor=['m1'], start=-2, stop=0, per_step=None                                                                
2017-10-26 11:25:06 b5a78488  8    scan                     detectors=['noisy'], num=219, motor=['m1'], start=-1.5, stop=-0.5, per_step=None                                                                           
2017-10-26 11:25:20 c8a10608  9    scan                     detectors=['noisy'], num=219, motor=['m1'], start=-1.5, stop=-0.5, per_step=None                                                                           
2017-10-26 11:25:37 d6656542  10   scan                     detectors=['noisy'], num=219, motor=['m1'], start=-1.5, stop=-0.5, per_step=None                                                                           
2017-10-26 11:25:51 a3cadedd  11   scan                     detectors=['noisy'], num=219, motor=['m1'], start=-1.5, stop=-0.5, per_step=None                                                                           
2017-10-26 11:26:06 d6af4895  12   scan                     detectors=['noisy'], num=219, motor=['m1'], start=-1.5, stop=-0.5, per_step=None                                                                           
2017-10-26 11:26:21 a2a780a7  13   scan                     detectors=['noisy'], num=219, motor=['m1'], start=-1.5, stop=-0.5, per_step=None                                                                           
2017-10-26 11:26:39 2da6161b  14   scan                     detectors=['synthetic_pseudovoigt'], num=219, motor=['m1'], start=-2, stop=0, per_step=None                                                                
2017-10-26 11:27:56 05b23921  15   tune_centroid            detectors=['noisy'], motor=['m1'], start=-2, stop=0, num_points=10, min_step=0.01                                                                          
2017-10-26 11:28:35 987d08e3  16   tune_centroid            detectors=['noisy'], motor=['m1'], start=-2, stop=0, num_points=10, min_step=0.01                                                                          
2017-10-26 11:29:44 c833acf6  17   tune_centroid            detectors=['synthetic_pseudovoigt'], motor=['m1'], start=-2, stop=0, num_points=10, min_step=0.001                                                         
2017-10-26 11:30:03 704d8433  18   adaptive_scan            detectors=['synthetic_pseudovoigt'], motor=['m1'], start=-2, stop=0, min_step=0.01, max_step=1, target_delta=500, backstep=True, threshold=0.8             
2017-10-26 11:42:02 55afa776  19   tune_centroid            detectors=['noisy'], motor=['m1'], start=-2, stop=0, num_points=10, min_step=0.001                                                                         
2017-10-26 11:43:03 134cc27f  20   tune_centroid            detectors=['noisy'], motor=['m1'], start=-2, stop=0, num_points=10, min_step=0.001                                                                         
2017-10-26 11:48:32 3c7040f1  21   tune_centroid            detectors=['noisy'], motor=['m1'], start=-2, stop=0, num_points=10, min_step=0.001                                                                         
2017-10-26 11:49:05 8af20f10  22   tune_centroid            detectors=['noisy'], motor=['m1'], start=-2, stop=0, num_points=10, min_step=0.001                                                                         
2017-10-26 11:49:48 acd706b6  23   tune_centroid            detectors=['noisy'], motor=['m1'], start=-2, stop=0, num_points=10, min_step=0.001                                                                         
2017-10-26 11:50:41 b1c8c108  24   tune_centroid            detectors=['noisy'], motor=['m1'], start=-2, stop=0, num_points=10, min_step=0.001                                                                         
2017-10-26 11:52:03 d1b62cd2  25   tune_centroid            detectors=['noisy'], motor=['m1'], start=-2, stop=0, num_points=10, min_step=0.001                                                                         
2017-10-26 11:52:31 b9f9b83f  26   tune_centroid            detectors=['noisy'], motor=['m1'], start=-2, stop=0, num_points=10, min_step=0.001                                                                         
2017-10-26 11:59:44 7938c0f8  27   tune_centroid            detectors=['noisy'], motor=['m1'], start=-2, stop=0, num_points=10, min_step=0.001                                                                         
2017-10-26 14:37:10 4897bc14  28   scan                     detectors=['synthetic_pseudovoigt'], num=219, motor=['m1'], start=-2, stop=0, per_step=None                                                                
2017-10-26 14:39:58 064b78f8  29   scan                     detectors=['synthetic_pseudovoigt'], num=219, motor=['m1'], start=-2, stop=-1, per_step=None                                                               
2017-10-26 14:42:17 5fe1036a  30   scan                     detectors=['synthetic_pseudovoigt'], num=419, motor=['m1'], start=-2, stop=0, per_step=None                                                                
